8.96,-140.32,-6.3,-6.4,83.5,27.57,27.32
8.95,-140.32,-5.7,-3.6,86.4,27.62,26.7
8.96,-140.32,-6.2,-5.8,83,27.68,27.36
8.96,-140.34,-6.4,-5.3,82.2,27.7,27.32
8.96,-140.33,-4.9,-6.2,87.3,27.85,27.09
8.96,-140.33,-6.3,-4.9,91.5,27.98,26.82
8.97,-140.32,-6.7,-3.7,94.1,28.04,26.62
8.96,-140.33,-6.3,-4.8,92,27.98,26.89
8.97,-140.33,-6.3,-4.9,86.9,28.13,27.44
8.97,-140.32,-4.2,-2.5,87.3,28.14,26.62
8.96,-140.32,-6.8,-2.4,86,28.09,27.6
8.96,-140.33,-7.1,-3.2,82.2,28.15,27.87
8.96,-140.33,-6.7,-4.7,81.3,28.19,27.75
4.93,-139.87,-2.9,-1.2,87.6,28.35,26.84
4.92,-139.86,0.4,-1.6,82.3,28.48,27.3
4.92,-139.87,-4,-4.6,83,28.61,28
4.92,-139.88,-6.3,-3.2,87.6,28.55,27.61
4.93,-139.87,-4.1,3.3,84.6,28.35,27.69
4.93,-139.87,-5.4,1.9,81.9,28.48,27.96
4.93,-139.86,-4.7,0.9,80.3,28.54,28.08
4.92,-139.87,-2.5,-0.9,84.2,28.72,27.61
4.93,-139.87,-5.1,2,84.6,28.66,27.42
4.93,-139.86,-1.3,0.7,80,28.73,27.65
4.93,-139.85,-5.4,-1.2,83.4,28.84,27.89
4.93,-139.86,-6.2,-4,82.7,28.63,27.77
4.93,-139.87,-4.8,2.6,82.3,28.48,27.42
2,-139.95,-0.3,3.2,86.8,27.85,27.1
2,-139.96,-1.6,1.1,83.6,28.06,27.42
1.99,-139.97,-3.9,-2.5,87.5,28.01,27.3
1.98,-139.96,-4.7,1.4,88.3,27.95,26.98
1.99,-139.97,-5.3,2.5,82.5,27.99,27.14
2,-139.97,-6.8,0.5,82.8,27.89,27.46
2,-139.97,-5.6,0.5,84,27.49,27.02
2,-139.96,-3.4,2,87.2,27.27,26.55
2,-139.97,-4.5,2.3,82.1,26.97,25.59
2,-139.96,-4.1,0.4,79.3,27.07,25.47
1.99,-139.97,-5.8,0.7,83.2,27.37,26.27
2,-139.97,-7.2,2.8,83.2,27.26,26.23
2,-139.98,-5.8,0.5,78.1,27.1,25.79
2,-139.99,-5.4,-0.4,77.8,26.85,25.91
-0.01,-139.94,0.7,0.3,93.1,26.42,26.54
-0.02,-139.93,-1.5,-0.4,92.3,26.49,26.51
-0.01,-139.94,-3.4,-1.4,92.3,26.42,26.53
-0.02,-139.94,-4.3,1.3,92.3,26.02,26.18
-0.02,-139.94,-3.7,0.4,92.3,25.77,25.79
-0.01,-139.94,-5.1,-2.5,92.3,25.7,26.03
-0.02,-139.94,-5.4,-2.1,88.1,25.15,25.5
-0.02,-139.94,-3.6,-0.6,90.4,24.82,25.04
-0.02,-139.94,-3.3,0.3,88.8,24.51,24.63
-0.02,-139.93,-3,-2.7,87.3,24.36,24.51
-0.02,-139.93,-4.7,-1,90.4,24.15,24.19
-0.02,-139.93,-5.2,0.2,87.3,24.1,24.02
-0.01,-139.94,-4.7,-1,88.4,24.15,24.21
-2.02,-139.96,1.7,1.2,87.3,28.71,27.36
-2,-139.96,-1.1,-1.9,86.9,28.43,27.28
-2.01,-139.97,-3.7,-2.7,84.8,28.47,27.43
-2.01,-139.97,-4.4,-3,81.9,28.83,27.75
-2.02,-139.97,-3.9,-1.4,83.6,28.92,27.91
-2.02,-139.96,-5.8,-3.4,88.9,28.71,27.75
-2.03,-139.97,-4.5,-5.2,87.7,28.27,27.08
-2.02,-139.97,-3.6,-4.5,83.1,27.7,26.6
-2.02,-139.96,-2.6,-2.3,84.4,27.27,26.41
-2.02,-139.96,-1.2,-5.1,88.5,27,25.93
-2.01,-139.96,-4,-4.3,84.4,26.77,25.54
-2.01,-139.96,-4,-3.1,84.8,26.87,25.69
-2.02,-139.96,-2.8,-4.5,89.3,26.86,25.61
-5.01,-139.92,-0.6,3.5,83.8,28.94,28.02
-5.01,-139.91,0.2,-2.5,85.4,28.85,27.13
-5.01,-139.92,-3.9,-3.4,79.8,29.03,28.38
-5.01,-139.92,-4.2,-2.5,79.4,28.98,28.18
-5.01,-139.92,-3,0.3,82.6,29.04,27.87
-5.01,-139.92,-7.9,1.1,78.6,29.08,28.45
-5.01,-139.92,-5.5,0.5,76.1,29.15,28.53
-5.01,-139.92,-3.1,-1.7,85.8,29.05,27.16
-5.01,-139.91,-3.5,-0.8,84.2,28.99,27.48
-5.01,-139.92,-3.3,-0.7,81.8,29.05,27.91
-5,-139.91,-2.8,-4.9,79.8,29,28.02
-5.01,-139.92,-4,-1.5,82.2,28.95,27.59
-5.01,-139.92,-7.8,1,76.1,28.88,28.34
5.15,-124.87,-4.8,2.5,90.9,28.71,27.85
5.14,-124.86,-2.2,4,86.6,28.64,28.33
5.14,-124.87,-1.6,0.5,88.5,28.66,27.37
5.15,-124.87,-3,1.8,89.3,28.68,27.53
5.14,-124.87,-4.6,3.3,83.1,28.61,27.81
